puzzle_type,puzzle_idx,num_clues,num_actual_errors,actual_error_positions,num_suspects_detected,suspect_positions,detection_probes,detection_time,suspects_include_all_actual,num_actual_in_suspects,correction_type,correction_attempts,total_solve_calls,positions_corrected,final_success,final_matches_ground_truth,total_time
hexasudoku_16x16_digits,0,120,1,"[(10, 12)]",120,"[(11, 1), (11, 0), (10, 14), (10, 13), (10, 12), (10, 11), (10, 9), (10, 8), (10, 7), (10, 5)]",51,224.48543524742126,True,1,single,5,56,"[(10, 12)]",True,True,224.8986668586731
hexasudoku_16x16_digits,1,120,1,"[(15, 11)]",120,"[(15, 11), (5, 14), (14, 13), (7, 8), (11, 9), (14, 6), (14, 14), (6, 11), (7, 14), (5, 1)]",3,13.229022026062012,True,1,single,1,4,"[(15, 11)]",True,True,13.927397012710571
hexasudoku_16x16_digits,2,120,2,"[(8, 8), (9, 11)]",120,"[(8, 1), (5, 12), (8, 11), (8, 15), (6, 12), (11, 15), (8, 4), (8, 5), (8, 7), (8, 8)]",17,39.93128991127014,True,2,uncorrectable,920,937,[],False,False,82.19332909584045
hexasudoku_16x16_digits,3,120,1,"[(12, 14)]",0,[],1,8.078537940979004,False,0,none,0,2,[],False,False,9.50406289100647
hexasudoku_16x16_digits,4,120,2,"[(0, 13), (10, 10)]",5,"[(10, 10), (0, 13), (3, 13), (12, 10), (10, 15)]",3,0.3301198482513428,True,2,uncorrectable,30,33,[],False,False,1.7484209537506104
hexasudoku_16x16_digits,5,120,1,"[(2, 0)]",120,"[(2, 0), (13, 1), (5, 0), (10, 9), (5, 9), (13, 11), (12, 13), (4, 1), (3, 10), (7, 3)]",3,13.504717111587524,True,1,single,1,4,"[(2, 0)]",True,True,13.983546018600464
hexasudoku_16x16_digits,6,120,0,[],0,[],1,7.873528718948364,True,0,none,0,2,[],True,True,9.27635383605957
hexasudoku_16x16_digits,7,120,1,"[(6, 13)]",120,"[(6, 13), (7, 2), (15, 9), (2, 10), (4, 5), (2, 15), (6, 12), (7, 3), (6, 10), (10, 10)]",3,10.742252111434937,True,1,uncorrectable,920,923,[],False,False,51.640937089920044
hexasudoku_16x16_digits,8,119,1,"[(2, 12)]",0,[],1,6.268203973770142,False,0,none,0,2,[],False,False,6.8023059368133545
hexasudoku_16x16_digits,9,120,4,"[(0, 13), (7, 8), (8, 0), (11, 3)]",4,"[(7, 8), (6, 9), (11, 3), (6, 3)]",3,0.3222019672393799,False,2,uncorrectable,15,18,[],False,False,0.9618527889251709
hexasudoku_16x16_digits,10,120,1,"[(5, 7)]",120,"[(5, 7), (6, 11), (4, 1), (11, 4), (0, 6), (12, 3), (13, 13), (8, 1), (13, 14), (11, 7)]",3,16.197143077850342,True,1,single,1,4,"[(5, 7)]",True,True,16.570554733276367
hexasudoku_16x16_digits,11,120,0,[],0,[],1,4.141316175460815,True,0,none,0,2,[],True,True,4.700642824172974
hexasudoku_16x16_digits,12,120,0,[],0,[],1,4.497631072998047,True,0,none,0,2,[],True,True,4.756157875061035
hexasudoku_16x16_digits,13,119,2,"[(7, 1), (15, 7)]",0,[],1,5.679138898849487,False,0,none,0,2,[],False,False,6.169574975967407
hexasudoku_16x16_digits,14,119,1,"[(4, 15)]",0,[],1,5.465311050415039,False,0,none,0,2,[],True,True,5.976376056671143
hexasudoku_16x16_digits,15,120,1,"[(11, 13)]",17,"[(11, 13), (15, 1), (15, 15), (15, 7), (15, 2), (15, 9), (15, 8), (15, 6), (15, 4), (12, 12)]",3,5.9462571144104,True,1,uncorrectable,917,920,[],False,False,49.062021255493164
hexasudoku_16x16_digits,16,120,1,"[(3, 7)]",116,"[(3, 7), (2, 1), (10, 1), (3, 13), (4, 8), (9, 14), (10, 2), (10, 5), (0, 5), (13, 14)]",3,12.238724708557129,True,1,uncorrectable,920,923,[],False,False,59.17107105255127
hexasudoku_16x16_digits,17,120,0,[],0,[],1,5.181992053985596,True,0,none,0,2,[],True,True,5.691261291503906
hexasudoku_16x16_digits,18,120,4,"[(2, 11), (9, 0), (9, 13), (14, 6)]",4,"[(9, 13), (9, 15), (2, 11), (0, 8)]",3,0.3815579414367676,False,2,uncorrectable,15,18,[],False,False,1.551382064819336
hexasudoku_16x16_digits,19,120,0,[],0,[],1,7.146853685379028,True,0,none,0,2,[],True,True,8.11915898323059
hexasudoku_16x16_digits,20,120,0,[],0,[],1,6.207881212234497,True,0,none,0,2,[],True,True,6.841876983642578
hexasudoku_16x16_digits,21,120,0,[],0,[],1,4.598793983459473,True,0,none,0,2,[],True,True,5.026406764984131
