size,puzzle_id,base_solved,corrected_solved,correction_type,solve_time_ms
3,0,True,True,none,366.86110496520996
3,1,True,True,none,134.9470615386963
3,2,True,True,none,134.47022438049316
3,3,True,True,none,136.01303100585938
3,4,True,True,none,137.5589370727539
3,5,True,True,none,147.57585525512695
3,6,True,True,none,145.31493186950684
3,7,True,True,none,147.00794219970703
3,8,True,True,none,129.62794303894043
3,9,True,True,none,137.13622093200684
3,10,True,True,none,126.38616561889648
3,11,True,True,none,127.29096412658691
3,12,True,True,none,127.20203399658203
3,13,True,True,none,124.7718334197998
3,14,True,True,none,130.1438808441162
3,15,True,True,none,127.52270698547363
3,16,True,True,none,129.07695770263672
3,17,True,True,none,131.4997673034668
3,18,True,True,none,131.7598819732666
3,19,True,True,none,131.93821907043457
3,20,True,True,none,127.37607955932617
3,21,True,True,none,128.79371643066406
3,22,True,True,none,131.9429874420166
3,23,True,True,none,129.67896461486816
3,24,True,True,none,130.28216361999512
3,25,True,True,none,132.10606575012207
3,26,True,True,none,128.97086143493652
3,27,True,True,none,126.12414360046387
3,28,True,True,none,127.72202491760254
3,29,True,True,none,127.70891189575195
3,30,True,True,none,132.15208053588867
3,31,True,True,none,124.6488094329834
3,32,True,True,none,123.55399131774902
3,33,True,True,none,130.4171085357666
3,34,True,True,none,129.89282608032227
3,35,True,True,none,128.77798080444336
3,36,True,True,none,125.15711784362793
3,37,True,True,none,126.16300582885742
3,38,True,True,none,132.34281539916992
3,39,True,True,none,128.25322151184082
3,40,True,True,none,130.55801391601562
3,41,True,True,none,129.14609909057617
3,42,True,True,none,131.58392906188965
3,43,True,True,none,129.09579277038574
3,44,True,True,none,134.3250274658203
3,45,True,True,none,126.62076950073242
3,46,True,True,none,129.47511672973633
3,47,True,True,none,128.16905975341797
3,48,True,True,none,130.079984664917
3,49,True,True,none,130.17773628234863
3,50,True,True,none,130.0961971282959
3,51,True,True,none,129.0261745452881
3,52,True,True,none,127.12287902832031
3,53,True,True,none,127.3951530456543
3,54,True,True,none,129.7609806060791
3,55,True,True,none,129.81510162353516
3,56,True,True,none,131.70814514160156
3,57,True,True,none,127.65002250671387
3,58,True,True,none,126.88207626342773
3,59,True,True,none,129.5928955078125
3,60,True,True,none,128.45492362976074
3,61,True,True,none,124.7260570526123
3,62,True,True,none,123.85702133178711
3,63,True,True,none,131.61587715148926
3,64,True,True,none,135.9412670135498
3,65,True,True,none,128.31997871398926
3,66,True,True,none,130.75995445251465
3,67,True,True,none,127.9599666595459
3,68,True,True,none,129.6849250793457
3,69,True,True,none,128.16190719604492
3,70,True,True,none,129.8229694366455
3,71,True,True,none,129.98080253601074
3,72,True,True,none,130.4769515991211
3,73,True,True,none,129.87995147705078
3,74,True,True,none,127.36892700195312
3,75,True,True,none,127.79974937438965
3,76,True,True,none,128.1740665435791
3,77,True,True,none,125.5648136138916
3,78,True,True,none,126.36280059814453
3,79,True,True,none,129.0302276611328
3,80,True,True,none,129.49824333190918
3,81,True,True,none,128.2670497894287
3,82,True,True,none,125.44012069702148
3,83,True,True,none,129.75001335144043
3,84,True,True,none,126.23906135559082
3,85,True,True,none,126.67584419250488
3,86,True,True,none,137.25900650024414
3,87,True,True,none,137.11786270141602
3,88,True,True,none,135.11228561401367
3,89,True,True,none,139.39571380615234
3,90,True,True,none,131.7586898803711
3,91,True,True,none,134.34314727783203
3,92,True,True,none,127.9299259185791
3,93,True,True,none,133.94498825073242
3,94,True,True,none,126.05810165405273
3,95,True,True,none,129.33683395385742
3,96,True,True,none,131.40010833740234
3,97,True,True,none,129.50396537780762
3,98,True,True,none,128.44014167785645
3,99,True,True,none,127.44784355163574
4,0,True,True,none,153.25093269348145
4,1,True,True,none,159.49106216430664
4,2,True,True,none,154.13498878479004
4,3,True,True,none,157.9909324645996
4,4,True,True,none,157.13000297546387
4,5,True,True,none,154.22725677490234
4,6,True,True,none,157.75585174560547
4,7,True,True,none,156.09502792358398
4,8,True,True,none,153.91993522644043
4,9,True,True,none,157.04894065856934
4,10,True,True,none,154.22606468200684
4,11,True,True,none,153.75208854675293
4,12,True,True,none,157.00292587280273
4,13,True,True,none,157.23395347595215
4,14,True,True,none,153.43403816223145
4,15,True,True,none,157.6859951019287
4,16,True,True,none,151.0939598083496
4,17,True,True,none,151.3819694519043
4,18,True,True,none,153.40399742126465
4,19,True,True,none,153.1069278717041
4,20,True,True,none,155.2908420562744
4,21,True,True,none,154.46925163269043
4,22,True,True,none,155.52687644958496
4,23,True,True,none,160.6760025024414
4,24,True,True,none,184.01789665222168
4,25,True,True,none,188.10009956359863
4,26,True,True,none,175.49395561218262
4,27,True,True,none,155.04002571105957
4,28,True,True,none,156.49008750915527
4,29,True,True,none,164.30282592773438
4,30,True,True,none,156.0649871826172
4,31,True,True,none,154.9241542816162
4,32,True,True,none,156.39805793762207
4,33,True,True,none,157.36818313598633
4,34,True,True,none,156.2497615814209
4,35,True,True,none,150.04491806030273
4,36,True,True,none,165.14205932617188
4,37,True,True,none,173.06804656982422
4,38,True,True,none,153.98383140563965
4,39,True,True,none,152.73189544677734
4,40,True,True,none,153.33199501037598
4,41,True,True,none,162.32800483703613
4,42,True,True,none,171.49019241333008
4,43,True,True,none,153.98097038269043
4,44,True,True,none,152.21571922302246
4,45,True,True,none,157.4709415435791
4,46,True,True,none,156.42976760864258
4,47,True,True,none,153.7950038909912
4,48,True,True,none,154.51908111572266
4,49,True,True,none,153.86509895324707
4,50,True,True,none,154.2367935180664
4,51,True,True,none,154.13975715637207
4,52,True,True,none,154.6320915222168
4,53,True,True,none,155.51018714904785
4,54,True,True,none,155.27606010437012
4,55,True,True,none,173.75802993774414
4,56,True,True,none,166.2740707397461
4,57,True,True,none,158.9040756225586
4,58,True,True,none,156.00013732910156
4,59,True,True,none,150.97880363464355
4,60,True,True,none,155.9770107269287
4,61,True,True,none,158.75482559204102
4,62,True,True,none,155.85994720458984
4,63,True,True,none,152.15420722961426
4,64,True,True,none,152.6632308959961
4,65,True,True,none,155.58910369873047
4,66,True,True,none,157.44733810424805
4,67,True,True,none,152.9390811920166
4,68,True,True,none,158.1137180328369
