puzzle_type,puzzle_idx,final_status,position,cnn_prediction,cnn_confidence,true_digit,true_digit_rank,true_digit_prob,confusion_type,full_ranking
hexasudoku_16x16,0,two,"(12, 15)",16,0.531898021697998,10,2,0.46809080243110657,A->G,"[(16, 0.531898021697998), (10, 0.46809080243110657), (9, 1.0771796951303259e-05), (4, 3.8994207329778874e-07), (13, 1.593290299695127e-08)]"
hexasudoku_16x16,0,two,"(15, 14)",4,0.7410297989845276,8,2,0.2587730884552002,8->4,"[(4, 0.7410297989845276), (8, 0.2587730884552002), (9, 0.00019709806656464934), (16, 9.284458535319118e-09), (7, 4.019177352043712e-12)]"
hexasudoku_16x16,1,single,"(3, 0)",9,0.812174916267395,16,2,0.18781425058841705,G->9,"[(9, 0.812174916267395), (16, 0.18781425058841705), (5, 5.975705335004022e-06), (10, 4.69082306153723e-06), (4, 9.222232932870611e-08)]"
hexasudoku_16x16,3,single,"(15, 0)",10,0.9031121730804443,16,2,0.09688771516084671,G->A,"[(10, 0.9031121730804443), (16, 0.09688771516084671), (12, 1.2514772151916986e-07), (9, 4.93183494043592e-09), (4, 1.303432500820989e-10)]"
hexasudoku_16x16,4,uncorrectable,"(0, 5)",10,0.671387255191803,16,2,0.32853975892066956,G->A,"[(10, 0.671387255191803), (16, 0.32853975892066956), (15, 3.3678559702821076e-05), (4, 3.323880082461983e-05), (13, 2.79861251328839e-06)]"
hexasudoku_16x16,4,uncorrectable,"(2, 15)",8,0.9873179793357849,11,3,0.001028290018439293,B->8,"[(8, 0.9873179793357849), (16, 0.011647469364106655), (11, 0.001028290018439293), (13, 6.012451194692403e-06), (9, 1.4484031396477803e-07)]"
hexasudoku_16x16,4,uncorrectable,"(5, 3)",6,0.9066429734230042,11,2,0.09335693717002869,B->6,"[(6, 0.9066429734230042), (11, 0.09335693717002869), (8, 8.535176476698325e-08), (16, 5.7044232448788534e-08), (5, 1.7465648372017029e-10)]"
hexasudoku_16x16,4,uncorrectable,"(10, 8)",9,0.9998778104782104,4,2,0.0001211471899296157,4->9,"[(9, 0.9998778104782104), (4, 0.0001211471899296157), (16, 1.0212108918494778e-06), (7, 1.0188124788257369e-09), (8, 3.288526950750992e-10)]"
hexasudoku_16x16,4,uncorrectable,"(14, 4)",6,0.9965652823448181,16,2,0.003422505920752883,G->6,"[(6, 0.9965652823448181), (16, 0.003422505920752883), (11, 1.2286020137253217e-05), (5, 3.4375735764868853e-12), (8, 3.2330670259039795e-12)]"
hexasudoku_16x16,4,uncorrectable,"(14, 11)",6,0.9066429734230042,11,2,0.09335693717002869,B->6,"[(6, 0.9066429734230042), (11, 0.09335693717002869), (8, 8.535176476698325e-08), (16, 5.7044232448788534e-08), (5, 1.7465648372017029e-10)]"
hexasudoku_16x16,5,uncorrectable,"(1, 9)",10,0.9305301308631897,13,2,0.06937766820192337,D->A,"[(10, 0.9305301308631897), (13, 0.06937766820192337), (14, 8.270829130196944e-05), (4, 5.891504315513885e-06), (12, 2.674506959010614e-06)]"
hexasudoku_16x16,5,uncorrectable,"(11, 1)",10,0.9575628638267517,16,2,0.0424162857234478,G->A,"[(10, 0.9575628638267517), (16, 0.0424162857234478), (15, 2.018790110014379e-05), (9, 2.9491420150407066e-07), (2, 8.609758594957384e-08)]"
hexasudoku_16x16,6,single,"(13, 0)",8,0.4394732415676117,15,2,0.38761183619499207,F->8,"[(8, 0.4394732415676117), (15, 0.38761183619499207), (16, 0.17291410267353058), (10, 4.884304303232057e-07), (9, 2.2537339816608437e-07)]"
hexasudoku_16x16,7,two,"(0, 1)",1,0.9681665301322937,15,2,0.02861163392663002,F->1,"[(1, 0.9681665301322937), (15, 0.02861163392663002), (13, 0.0027493766974657774), (2, 0.00012172177957836539), (10, 9.891928493743762e-05)]"
hexasudoku_16x16,7,two,"(7, 2)",8,0.7025721073150635,5,2,0.26031890511512756,5->8,"[(8, 0.7025721073150635), (5, 0.26031890511512756), (9, 0.024068843573331833), (4, 0.010715315118432045), (15, 0.00217528291977942)]"
hexasudoku_16x16,8,single,"(5, 13)",6,0.8612189888954163,11,2,0.13877767324447632,B->6,"[(6, 0.8612189888954163), (11, 0.13877767324447632), (4, 2.916320681833895e-06), (5, 3.5179974133825453e-07), (16, 1.2140499272561556e-08)]"
hexasudoku_16x16,10,single,"(4, 11)",11,0.8188785314559937,3,2,0.18106020987033844,3->B,"[(11, 0.8188785314559937), (3, 0.18106020987033844), (16, 6.132671842351556e-05), (2, 1.1431405155803986e-08), (13, 1.9836236819781305e-11)]"
hexasudoku_16x16,10,single,"(15, 6)",10,0.5516001582145691,4,2,0.44805511832237244,4->A,"[(10, 0.5516001582145691), (4, 0.44805511832237244), (16, 0.0002712870773393661), (15, 4.5583998144138604e-05), (7, 1.3879813195671886e-05)]"
hexasudoku_16x16,11,two,"(0, 9)",16,0.7241972088813782,10,2,0.275431364774704,A->G,"[(16, 0.7241972088813782), (10, 0.275431364774704), (13, 0.00019213311315979809), (9, 0.0001772105897543952), (4, 1.69947350059374e-06)]"
hexasudoku_16x16,11,two,"(6, 14)",1,0.7648217678070068,15,2,0.23427771031856537,F->1,"[(1, 0.7648217678070068), (15, 0.23427771031856537), (5, 0.0008813107269816101), (4, 1.0992649549734779e-05), (7, 4.784404154634103e-06)]"
hexasudoku_16x16,11,two,"(12, 6)",12,0.9962018132209778,14,2,0.0037982030771672726,E->C,"[(12, 0.9962018132209778), (14, 0.0037982030771672726), (10, 1.2516061964618075e-08), (16, 1.0525272875483438e-09), (6, 2.91840634991658e-10)]"
hexasudoku_16x16,12,single,"(11, 12)",1,0.8895272016525269,6,2,0.11031626909971237,6->1,"[(1, 0.8895272016525269), (6, 0.11031626909971237), (12, 8.212788088712841e-05), (16, 3.410782301216386e-05), (13, 2.5559371351846494e-05)]"
hexasudoku_16x16,13,single,"(15, 9)",10,0.8338712453842163,16,2,0.1661200225353241,G->A,"[(10, 0.8338712453842163), (16, 0.1661200225353241), (14, 3.494624252198264e-06), (11, 3.0015423817530973e-06), (12, 2.176890120608732e-06)]"
