puzzle_idx,num_errors,final_status,failure_category,max_true_rank,single_digit_cells,double_digit_cells
0,4,single,all_rank_1-4,2,69,51
1,3,single,all_rank_1-4,2,72,48
2,3,uncorrectable,some_rank_11+,11,65,55
3,1,none,all_rank_1-4,2,68,52
4,4,uncorrectable,some_rank_5-10,7,71,49
5,3,single,all_rank_1-4,2,74,46
6,0,none,no_errors,0,68,52
7,2,uncorrectable,some_rank_5-10,9,63,57
8,3,none,some_rank_5-10,5,73,47
9,4,uncorrectable,some_rank_11+,12,67,53
10,2,single,all_rank_1-4,3,68,52
11,1,none,all_rank_1-4,2,68,52
12,4,none,all_rank_1-4,2,71,49
13,5,none,all_rank_1-4,4,67,53
14,2,single,all_rank_1-4,2,68,52
15,1,uncorrectable,some_rank_5-10,10,68,52
16,3,uncorrectable,some_rank_5-10,7,67,53
17,1,none,all_rank_1-4,2,70,50
18,6,uncorrectable,all_rank_1-4,2,64,56
19,2,none,all_rank_1-4,3,74,46
20,2,none,all_rank_1-4,2,68,52
21,1,none,all_rank_1-4,3,67,53
22,6,uncorrectable,some_rank_5-10,5,67,53
23,3,none,some_rank_5-10,5,72,48
24,3,single,all_rank_1-4,4,65,55
25,3,uncorrectable,some_rank_5-10,7,65,55
26,4,uncorrectable,some_rank_5-10,7,68,52
27,4,single,all_rank_1-4,2,70,50
28,2,single,all_rank_1-4,2,68,52
29,2,none,all_rank_1-4,2,69,51
30,1,single,all_rank_1-4,3,65,55
31,2,single,all_rank_1-4,3,65,55
32,3,uncorrectable,all_rank_1-4,3,69,51
33,5,two,all_rank_1-4,2,65,55
34,1,none,all_rank_1-4,2,66,54
35,2,none,all_rank_1-4,4,73,47
36,1,none,all_rank_1-4,2,65,55
37,1,none,all_rank_1-4,2,74,46
38,6,uncorrectable,some_rank_5-10,9,64,56
39,5,two,all_rank_1-4,3,74,46
40,2,single,all_rank_1-4,3,63,57
41,4,single,all_rank_1-4,3,68,52
42,1,uncorrectable,some_rank_5-10,9,63,57
43,3,single,all_rank_1-4,3,70,50
44,2,single,all_rank_1-4,3,66,54
45,3,none,all_rank_1-4,2,68,52
46,4,none,all_rank_1-4,2,66,54
47,2,none,all_rank_1-4,4,67,53
48,3,uncorrectable,some_rank_5-10,5,66,54
49,4,none,all_rank_1-4,2,73,47
50,4,single,all_rank_1-4,3,69,51
51,4,uncorrectable,all_rank_1-4,2,67,53
52,2,two,all_rank_1-4,2,70,50
53,4,none,all_rank_1-4,4,68,52
54,2,single,all_rank_1-4,2,78,42
55,3,uncorrectable,some_rank_5-10,7,71,49
56,6,uncorrectable,some_rank_5-10,8,68,52
57,3,single,all_rank_1-4,2,76,44
58,3,uncorrectable,some_rank_5-10,9,64,56
59,4,uncorrectable,some_rank_5-10,9,66,54
60,4,uncorrectable,all_rank_1-4,4,62,58
61,5,uncorrectable,all_rank_1-4,4,66,54
62,4,two,all_rank_1-4,3,69,51
63,4,uncorrectable,some_rank_11+,12,71,49
64,4,uncorrectable,some_rank_11+,11,69,51
65,1,uncorrectable,some_rank_5-10,9,60,60
66,2,none,all_rank_1-4,2,64,56
67,5,single,all_rank_1-4,2,63,57
68,2,none,all_rank_1-4,2,70,50
69,8,uncorrectable,some_rank_11+,12,74,46
70,4,two,all_rank_1-4,4,64,56
71,2,single,all_rank_1-4,4,64,56
72,2,single,all_rank_1-4,2,68,52
73,2,uncorrectable,some_rank_5-10,7,62,58
74,3,single,all_rank_1-4,3,68,52
75,0,none,no_errors,0,70,50
76,4,two,all_rank_1-4,4,67,53
77,2,uncorrectable,all_rank_1-4,2,65,55
78,2,none,all_rank_1-4,4,67,53
79,4,uncorrectable,some_rank_5-10,7,62,58
80,2,single,all_rank_1-4,2,71,49
81,5,uncorrectable,some_rank_5-10,9,68,52
82,4,single,all_rank_1-4,3,65,55
83,0,none,no_errors,0,71,49
84,4,none,all_rank_1-4,2,69,51
85,11,uncorrectable,all_rank_1-4,3,64,56
86,4,uncorrectable,some_rank_5-10,9,64,56
87,5,uncorrectable,some_rank_5-10,9,69,51
88,3,two,all_rank_1-4,2,71,49
89,6,two,all_rank_1-4,3,64,56
90,4,uncorrectable,some_rank_5-10,7,74,46
91,2,two,all_rank_1-4,3,67,53
92,2,single,some_rank_5-10,5,70,50
93,7,uncorrectable,all_rank_1-4,4,66,54
94,2,none,all_rank_1-4,4,65,55
95,1,single,all_rank_1-4,2,68,52
96,5,uncorrectable,some_rank_5-10,6,66,54
97,0,none,no_errors,0,66,54
98,3,uncorrectable,some_rank_11+,12,62,58
99,2,single,all_rank_1-4,2,61,59
