puzzle_id,size,error_type,error_count,details
3_0,3,ocr_errors,1,target:7->3.0
3_1,3,none,0,
3_2,3,ocr_errors,1,target:3->2.0
3_3,3,none,0,
3_4,3,none,0,
3_5,3,ocr_errors,2,"target:0->6, target:1->6"
3_6,3,none,0,
3_7,3,ocr_errors,1,target:17->12
3_8,3,none,0,
3_9,3,none,0,
3_10,3,none,0,
3_11,3,none,0,
3_12,3,none,0,
3_13,3,ocr_errors,2,"target:6->5, target:1->7"
3_14,3,none,0,
3_15,3,none,0,
3_16,3,none,0,
3_17,3,ocr_errors,1,target:0->6
3_18,3,ocr_errors,1,target:7->2.0
3_19,3,none,0,
3_20,3,none,0,
3_21,3,none,0,
3_22,3,ocr_errors,2,"target:7->3.0, target:0->6"
3_23,3,none,0,
3_24,3,none,0,
3_25,3,none,0,
3_26,3,none,0,
3_27,3,none,0,
3_28,3,none,0,
3_29,3,ocr_errors,1,target:7->2
3_30,3,ocr_errors,2,"target:0->6, target:7->2"
3_31,3,ocr_errors,1,target:1->7
3_32,3,none,0,
3_33,3,none,0,
3_34,3,ocr_errors,1,target:0->6
3_35,3,ocr_errors,1,target:22->18
3_36,3,none,0,
3_37,3,ocr_errors,1,target:0->3
3_38,3,ocr_errors,1,target:5->6
3_39,3,none,0,
3_40,3,none,0,
3_41,3,ocr_errors,1,target:7->2
3_42,3,none,0,
3_43,3,ocr_errors,1,target:0->6
3_44,3,none,0,
3_45,3,none,0,
3_46,3,none,0,
3_47,3,none,0,
3_48,3,ocr_errors,2,"target:5->6, target:5->3"
3_49,3,none,0,
3_50,3,none,0,
3_51,3,none,0,
3_52,3,ocr_errors,1,target:1->7
3_53,3,none,0,
3_54,3,none,0,
3_55,3,none,0,
3_56,3,ocr_errors,1,target:5->3
3_57,3,ocr_errors,1,target:4->9
3_58,3,ocr_errors,1,target:0->6
3_59,3,none,0,
3_60,3,none,0,
3_61,3,none,0,
3_62,3,ocr_errors,2,"target:1->6, target:2->6"
3_63,3,ocr_errors,1,target:0->3
3_64,3,ocr_errors,1,target:0->6
3_65,3,none,0,
3_66,3,ocr_errors,1,target:11->18
3_67,3,ocr_errors,1,target:1->4
3_68,3,ocr_errors,1,target:17->12
3_69,3,none,0,
3_70,3,none,0,
3_71,3,none,0,
3_72,3,none,0,
3_73,3,ocr_errors,2,"target:7->2, target:7->5"
3_74,3,none,0,
3_75,3,ocr_errors,1,target:5->3
3_76,3,none,0,
3_77,3,none,0,
3_78,3,ocr_errors,1,target:6->5
3_79,3,ocr_errors,1,target:5->3
3_80,3,none,0,
3_81,3,none,0,
3_82,3,none,0,
3_83,3,none,0,
3_84,3,ocr_errors,1,target:1->7
3_85,3,ocr_errors,1,target:0->6
3_86,3,ocr_errors,1,target:1->8
3_87,3,none,0,
3_88,3,none,0,
3_89,3,none,0,
3_90,3,none,0,
3_91,3,ocr_errors,2,"target:7->3.0, target:5->3"
