puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,cells_match_expected,total_cells,extract_time,solve_time
0,1.0,True,True,True,241,256,0.08976101875305176,0.9649429321289062
1,1.0,True,True,True,232,256,0.08199095726013184,1.159407138824463
2,1.0,True,True,True,208,256,0.0733487606048584,0.5213890075683594
3,1.0,True,True,True,231,256,0.07473468780517578,1.0976860523223877
4,1.0,True,True,True,224,256,0.07811141014099121,0.8615238666534424
5,1.0,True,True,True,214,256,0.09765911102294922,0.9406881332397461
6,1.0,True,True,True,231,256,0.07594895362854004,0.9755749702453613
7,1.0,True,True,True,209,256,0.08708310127258301,1.706700086593628
8,1.0,True,True,True,223,256,0.08155274391174316,1.1498544216156006
9,1.0,True,True,True,226,256,0.08060193061828613,0.6147408485412598
10,1.0,True,True,True,197,256,0.08793425559997559,0.8853089809417725
11,1.0,True,True,True,252,256,0.07662487030029297,1.2061691284179688
12,1.0,True,True,True,249,256,0.09173798561096191,1.2081489562988281
13,1.0,True,True,True,229,256,0.08656096458435059,1.3027989864349365
14,1.0,True,True,True,230,256,0.15643000602722168,1.5548930168151855
15,1.0,True,True,True,209,256,0.14789295196533203,0.6741857528686523
16,1.0,True,True,True,197,256,0.15643787384033203,3.9287209510803223
17,1.0,True,True,True,241,256,0.15486693382263184,0.7696161270141602
18,1.0,True,True,True,230,256,0.1929640769958496,1.1325058937072754
19,1.0,True,True,True,203,256,0.18227887153625488,8.138113021850586
20,1.0,True,True,True,249,256,0.15342998504638672,0.8634319305419922
21,1.0,True,True,True,211,256,0.164808988571167,2.550776958465576
22,1.0,True,True,True,244,256,0.20715689659118652,1.8962397575378418
23,1.0,True,True,True,208,256,0.171309232711792,2.600421190261841
24,1.0,True,True,True,256,256,0.20000004768371582,0.8717598915100098
25,1.0,True,True,True,242,256,0.1821739673614502,0.8030710220336914
26,1.0,True,True,True,244,256,0.1679248809814453,2.045973062515259
27,1.0,True,True,True,224,256,0.16595816612243652,1.0090031623840332
28,1.0,True,True,True,200,256,0.14636516571044922,2.9828829765319824
29,1.0,True,True,True,218,256,0.13035106658935547,1.6817657947540283
30,1.0,True,True,True,231,256,0.10451364517211914,0.5898532867431641
31,1.0,True,True,True,223,256,0.15369701385498047,0.6189589500427246
32,1.0,True,True,True,213,256,0.10864996910095215,1.7341079711914062
33,1.0,True,True,True,221,256,0.1250159740447998,1.4252269268035889
34,1.0,True,True,True,241,256,0.13094305992126465,1.2904210090637207
35,1.0,True,True,True,202,256,0.13493800163269043,0.5224430561065674
36,1.0,True,True,True,228,256,0.12501883506774902,1.9465961456298828
37,1.0,True,True,True,212,256,0.12803387641906738,2.59092116355896
38,1.0,True,True,True,220,256,0.12372708320617676,2.286979913711548
39,1.0,True,True,True,227,256,0.14536428451538086,0.5642199516296387
