puzzle_idx,extraction_accuracy,is_valid_solution,matches_clues,is_correct,exact_match_expected,cells_match_expected,total_cells,extract_time,solve_time
0,0.98046875,False,False,False,False,0,256,0.21374106407165527,0.04505300521850586
1,0.98828125,False,False,False,False,0,256,0.15824317932128906,0.049340009689331055
2,0.99609375,False,False,False,False,0,256,0.13939404487609863,0.05930900573730469
3,0.984375,False,False,False,False,0,256,0.15291094779968262,0.05106782913208008
4,0.9921875,False,False,False,False,0,256,0.14035916328430176,0.06317591667175293
5,0.9921875,False,False,False,False,0,256,0.180999755859375,0.06221628189086914
6,0.9921875,False,False,False,False,0,256,0.16633200645446777,0.054058074951171875
7,0.9921875,False,False,False,False,0,256,0.17410516738891602,0.04863309860229492
8,0.99609375,False,False,False,False,0,256,0.16691088676452637,0.0593721866607666
9,0.99609375,False,False,False,False,0,256,0.12945985794067383,0.05217480659484863
10,0.984375,False,False,False,False,0,256,0.17358613014221191,0.04822874069213867
11,0.99609375,False,False,False,False,0,256,0.1631631851196289,0.05452895164489746
12,0.9921875,False,False,False,False,0,256,0.1598048210144043,0.255748987197876
13,0.98828125,False,False,False,False,0,256,0.21042084693908691,0.04507708549499512
14,0.98046875,False,False,False,False,0,256,0.145369291305542,0.057415008544921875
15,0.9921875,False,False,False,False,0,256,0.1651289463043213,0.2279360294342041
16,0.984375,False,False,False,False,0,256,0.206467866897583,0.06662893295288086
17,0.98828125,False,False,False,False,0,256,0.21397781372070312,0.08852195739746094
18,0.9921875,False,False,False,False,0,256,0.16627192497253418,0.06579303741455078
19,0.98828125,False,False,False,False,0,256,0.1605541706085205,0.051033973693847656
20,0.98046875,False,False,False,False,0,256,0.177778959274292,0.13490700721740723
21,0.98828125,False,False,False,False,0,256,0.24575209617614746,0.04500985145568848
22,0.99609375,False,False,False,False,0,256,0.1872110366821289,0.06078529357910156
23,1.0,True,True,True,True,256,256,0.25339794158935547,0.3648562431335449
24,0.98046875,False,False,False,False,0,256,0.14359188079833984,0.047950029373168945
25,0.984375,False,False,False,False,0,256,0.16073179244995117,0.048403263092041016
26,1.0,True,True,True,True,256,256,0.13198494911193848,0.723646879196167
27,0.9921875,False,False,False,False,0,256,0.16588115692138672,0.066436767578125
28,0.9921875,False,False,False,False,0,256,0.1953902244567871,0.06903791427612305
29,0.98828125,False,False,False,False,0,256,0.166182279586792,0.0506441593170166
30,0.99609375,False,False,False,False,0,256,0.1555321216583252,0.06160998344421387
31,0.9921875,False,False,False,False,0,256,0.16510224342346191,0.041230201721191406
32,0.98828125,False,False,False,False,0,256,0.2037796974182129,0.05720806121826172
33,0.9921875,False,False,False,False,0,256,0.17472100257873535,0.0668189525604248
34,0.98828125,False,False,False,False,0,256,0.18293094635009766,0.052474260330200195
35,0.9765625,False,False,False,False,0,256,0.2266850471496582,0.16980981826782227
36,0.9921875,False,False,False,False,0,256,0.2244269847869873,0.07015204429626465
37,0.98828125,False,False,False,False,0,256,0.3318789005279541,0.07242298126220703
38,0.99609375,False,False,False,False,0,256,0.23770809173583984,0.059925079345703125
39,0.9921875,False,False,False,False,0,256,0.2250659465789795,0.09833312034606934
40,1.0,True,True,True,True,256,256,0.18648910522460938,0.7548637390136719
41,0.9765625,False,False,False,False,0,256,0.20307493209838867,0.0586240291595459
42,0.98828125,False,False,False,False,0,256,0.14945483207702637,0.07533884048461914
43,1.0,True,True,True,True,256,256,0.24340200424194336,0.5513918399810791
44,0.98828125,False,False,False,False,0,256,0.1754469871520996,0.048429012298583984
45,0.98828125,False,False,False,False,0,256,0.16082000732421875,0.05344676971435547
46,0.9921875,False,False,False,False,0,256,0.16902399063110352,0.06345701217651367
47,0.99609375,False,False,False,False,0,256,0.19458985328674316,0.0806419849395752
48,0.98828125,False,False,False,False,0,256,0.21734189987182617,0.059684038162231445
49,0.99609375,False,False,False,False,0,256,0.16743111610412598,0.06942176818847656
50,0.9765625,False,False,False,False,0,256,0.20001983642578125,0.05789303779602051
51,0.984375,False,False,False,False,0,256,0.16477203369140625,0.040009260177612305
52,0.9921875,False,False,False,False,0,256,0.20027613639831543,0.05089426040649414
53,0.99609375,False,False,False,False,0,256,0.1609938144683838,0.04617118835449219
54,0.98828125,False,False,False,False,0,256,0.19875621795654297,0.05971980094909668
55,0.99609375,False,False,False,False,0,256,0.3376748561859131,0.06672787666320801
56,0.98828125,False,False,False,False,0,256,0.19038009643554688,0.07004094123840332
