puzzle_type,puzzle_idx,num_clues,num_actual_errors,actual_error_positions,num_suspects_detected,suspect_positions,detection_probes,detection_time,suspects_include_all_actual,num_actual_in_suspects,correction_type,correction_attempts,total_solve_calls,positions_corrected,final_success,final_matches_ground_truth,total_time
hexasudoku_16x16_digits,0,120,1,"[(10, 12)]",120,"[(11, 1), (11, 0), (10, 14), (10, 13), (10, 12), (10, 11), (10, 9), (10, 8), (10, 7), (10, 5)]",51,255.22933793067932,True,1,single,5,56,"[(10, 12)]",True,True,255.67901992797852
hexasudoku_16x16_digits,1,120,1,"[(15, 11)]",120,"[(15, 11), (5, 14), (14, 13), (7, 8), (11, 9), (14, 6), (14, 14), (6, 11), (7, 14), (5, 1)]",3,14.72128415107727,True,1,single,1,4,"[(15, 11)]",True,True,15.50910997390747
hexasudoku_16x16_digits,2,120,2,"[(8, 8), (9, 11)]",120,"[(8, 1), (5, 12), (8, 11), (8, 15), (6, 12), (11, 15), (8, 4), (8, 5), (8, 7), (8, 8)]",17,45.40820908546448,True,2,uncorrectable,920,937,[],False,False,87.68786883354187
hexasudoku_16x16_digits,3,120,1,"[(12, 14)]",0,[],1,8.358007907867432,False,0,none,0,2,[],False,False,9.867450952529907
hexasudoku_16x16_digits,4,120,2,"[(0, 13), (10, 10)]",5,"[(10, 10), (0, 13), (3, 13), (12, 10), (10, 15)]",3,0.3461759090423584,True,2,uncorrectable,30,33,[],False,False,1.8254320621490479
hexasudoku_16x16_digits,5,120,1,"[(2, 0)]",120,"[(2, 0), (13, 1), (5, 0), (10, 9), (5, 9), (13, 11), (12, 13), (4, 1), (3, 10), (7, 3)]",3,14.461570024490356,True,1,single,1,4,"[(2, 0)]",True,True,14.958160877227783
hexasudoku_16x16_digits,6,120,0,[],0,[],1,8.552520036697388,True,0,none,0,2,[],True,True,10.03097128868103
hexasudoku_16x16_digits,7,120,1,"[(6, 13)]",120,"[(6, 13), (7, 2), (15, 9), (2, 10), (4, 5), (2, 15), (6, 12), (7, 3), (6, 10), (10, 10)]",3,11.880865097045898,True,1,uncorrectable,920,923,[],False,False,54.41715693473816
hexasudoku_16x16_digits,8,119,1,"[(2, 12)]",0,[],1,7.072303771972656,False,0,none,0,2,[],False,False,7.619470119476318
hexasudoku_16x16_digits,9,120,4,"[(0, 13), (7, 8), (8, 0), (11, 3)]",4,"[(7, 8), (6, 9), (11, 3), (6, 3)]",3,0.3540968894958496,False,2,uncorrectable,15,18,[],False,False,1.0287041664123535
hexasudoku_16x16_digits,10,120,1,"[(5, 7)]",120,"[(5, 7), (6, 11), (4, 1), (11, 4), (0, 6), (12, 3), (13, 13), (8, 1), (13, 14), (11, 7)]",3,17.73897910118103,True,1,single,1,4,"[(5, 7)]",True,True,18.11566996574402
hexasudoku_16x16_digits,11,120,0,[],0,[],1,4.581701040267944,True,0,none,0,2,[],True,True,5.176650047302246
hexasudoku_16x16_digits,12,120,0,[],0,[],1,4.996861934661865,True,0,none,0,2,[],True,True,5.274784088134766
hexasudoku_16x16_digits,13,119,2,"[(7, 1), (15, 7)]",0,[],1,6.222653150558472,False,0,none,0,2,[],False,False,6.738514184951782
hexasudoku_16x16_digits,14,119,1,"[(4, 15)]",0,[],1,5.858904838562012,False,0,none,0,2,[],True,True,6.371537923812866
hexasudoku_16x16_digits,15,120,1,"[(11, 13)]",17,"[(11, 13), (15, 1), (15, 15), (15, 7), (15, 2), (15, 9), (15, 8), (15, 6), (15, 4), (12, 12)]",3,6.672207832336426,True,1,uncorrectable,917,920,[],False,False,44.61729717254639
hexasudoku_16x16_digits,16,120,1,"[(3, 7)]",116,"[(3, 7), (2, 1), (10, 1), (3, 13), (4, 8), (9, 14), (10, 2), (10, 5), (0, 5), (13, 14)]",3,10.215280294418335,True,1,uncorrectable,920,923,[],False,False,47.68309020996094
hexasudoku_16x16_digits,17,120,0,[],0,[],1,4.185157060623169,True,0,none,0,2,[],True,True,4.608576059341431
hexasudoku_16x16_digits,18,120,4,"[(2, 11), (9, 0), (9, 13), (14, 6)]",4,"[(9, 13), (9, 15), (2, 11), (0, 8)]",3,0.3094499111175537,False,2,uncorrectable,15,18,[],False,False,0.9280600547790527
hexasudoku_16x16_digits,19,120,0,[],0,[],1,5.905340194702148,True,0,none,0,2,[],True,True,6.789440870285034
hexasudoku_16x16_digits,20,120,0,[],0,[],1,5.812629461288452,True,0,none,0,2,[],True,True,6.343393802642822
hexasudoku_16x16_digits,21,120,0,[],0,[],1,4.417346000671387,True,0,none,0,2,[],True,True,4.827702045440674
hexasudoku_16x16_digits,22,120,2,"[(10, 14), (15, 3)]",4,"[(15, 3), (12, 3), (8, 13), (10, 14)]",3,0.29877185821533203,True,2,uncorrectable,15,18,[],False,False,0.9058091640472412
hexasudoku_16x16_digits,23,120,0,[],0,[],1,4.383335113525391,True,0,none,0,2,[],True,True,4.7034313678741455
hexasudoku_16x16_digits,24,120,1,"[(3, 8)]",120,"[(3, 8), (1, 2), (3, 5), (4, 1), (14, 4), (12, 9), (14, 10), (3, 4), (12, 3), (13, 0)]",51,195.34026527404785,True,1,single,1,52,"[(3, 8)]",True,True,195.7128710746765
hexasudoku_16x16_digits,25,120,1,"[(3, 14)]",120,"[(3, 14), (4, 14), (7, 10), (7, 8), (7, 9), (5, 11), (5, 15), (5, 5), (5, 13), (5, 12)]",28,52.56531596183777,True,1,uncorrectable,920,948,[],False,False,90.28091597557068
hexasudoku_16x16_digits,26,120,1,"[(10, 12)]",3,"[(10, 12), (10, 0), (9, 15)]",3,6.022320985794067,True,1,uncorrectable,7,10,[],False,False,6.302873849868774
hexasudoku_16x16_digits,27,120,1,"[(1, 10)]",120,"[(1, 10), (9, 6), (13, 1), (10, 10), (6, 0), (12, 5), (10, 4), (1, 0), (7, 11), (4, 7)]",51,294.57343912124634,True,1,single,1,52,"[(1, 10)]",True,True,294.9828898906708
hexasudoku_16x16_digits,28,120,1,"[(10, 6)]",120,"[(10, 6), (2, 10), (0, 9), (2, 6), (1, 5), (14, 4), (3, 4), (10, 10), (15, 12), (4, 9)]",3,12.506786108016968,True,1,single,1,4,"[(10, 6)]",True,True,13.00953221321106
hexasudoku_16x16_digits,29,120,0,[],0,[],1,6.641999959945679,True,0,none,0,2,[],True,True,7.823650121688843
hexasudoku_16x16_digits,30,120,1,"[(9, 13)]",3,"[(9, 13), (11, 13), (9, 8)]",3,5.38751482963562,True,1,uncorrectable,7,10,[],False,False,5.668888092041016
hexasudoku_16x16_digits,31,120,1,"[(5, 9)]",118,"[(5, 9), (1, 13), (8, 3), (15, 2), (6, 3), (7, 15), (3, 12), (11, 1), (12, 15), (3, 13)]",3,10.412786960601807,True,1,single,1,4,"[(5, 9)]",True,True,10.877693176269531
hexasudoku_16x16_digits,32,120,2,"[(3, 4), (8, 11)]",18,"[(3, 0), (3, 13), (2, 12), (3, 9), (1, 13), (3, 12), (3, 7), (3, 14), (3, 5), (12, 15)]",3,0.34195613861083984,True,2,uncorrectable,918,921,[],False,False,37.18917798995972
hexasudoku_16x16_digits,33,120,2,"[(6, 12), (12, 11)]",5,"[(6, 12), (15, 12), (6, 14), (12, 10), (12, 11)]",3,0.3032979965209961,True,2,two,9,12,"[(6, 12), (12, 11)]",True,True,1.3232958316802979
hexasudoku_16x16_digits,34,120,0,[],0,[],1,4.591625928878784,True,0,none,0,2,[],True,True,4.806007146835327
hexasudoku_16x16_digits,35,120,0,[],0,[],1,4.235119819641113,True,0,none,0,2,[],True,True,4.474459886550903
hexasudoku_16x16_digits,36,119,1,"[(11, 12)]",0,[],1,8.575481653213501,False,0,none,0,2,[],True,True,9.783357858657837
