size,puzzle_id,base_solved,corrected_solved,correction_type,solve_time_ms
3,0,True,True,none,485.93616485595703
3,1,True,True,none,143.57280731201172
3,2,True,True,none,140.70510864257812
3,3,True,True,none,160.66408157348633
3,4,True,True,none,150.1181125640869
3,5,True,True,none,136.28578186035156
3,6,True,True,none,129.40502166748047
3,7,True,True,none,131.79302215576172
3,8,True,True,none,130.65505027770996
3,9,True,True,none,136.32702827453613
3,10,True,True,none,133.85486602783203
3,11,True,True,none,131.92200660705566
3,12,True,True,none,148.03695678710938
3,13,True,True,none,130.60474395751953
3,14,True,True,none,132.51304626464844
3,15,True,True,none,135.6029510498047
3,16,True,True,none,129.93788719177246
3,17,True,True,none,133.69297981262207
3,18,True,True,none,136.93499565124512
3,19,True,True,none,129.180908203125
3,20,True,True,none,129.88686561584473
3,21,True,True,none,139.5580768585205
3,22,True,True,none,135.74576377868652
3,23,True,True,none,136.43312454223633
3,24,True,True,none,139.67490196228027
3,25,True,True,none,195.81222534179688
3,26,True,True,none,192.71016120910645
3,27,True,True,none,136.6720199584961
3,28,True,True,none,147.3691463470459
3,29,True,True,none,149.7666835784912
3,30,True,True,none,151.17621421813965
3,31,True,True,none,134.8421573638916
3,32,True,True,none,128.9689540863037
3,33,True,True,none,135.3468894958496
3,34,True,True,none,133.42809677124023
3,35,True,True,none,133.41593742370605
3,36,True,True,none,375.45180320739746
3,37,True,True,none,136.43503189086914
3,38,True,True,none,135.09821891784668
3,39,True,True,none,131.6239833831787
3,40,True,True,none,132.7688694000244
3,41,True,True,none,144.29593086242676
3,42,True,True,none,214.07389640808105
3,43,True,True,none,144.9892520904541
3,44,True,True,none,146.56996726989746
3,45,True,True,none,139.07790184020996
3,46,True,True,none,134.88101959228516
3,47,True,True,none,131.47997856140137
3,48,True,True,none,130.94305992126465
3,49,True,True,none,132.23505020141602
3,50,True,True,none,131.4539909362793
3,51,True,True,none,132.09795951843262
3,52,True,True,none,128.86381149291992
3,53,True,True,none,131.23273849487305
3,54,True,True,none,128.342866897583
3,55,True,True,none,135.08915901184082
3,56,True,True,none,137.52198219299316
3,57,True,True,none,128.68309020996094
3,58,True,True,none,133.07785987854004
3,59,True,True,none,135.3778839111328
3,60,True,True,none,130.7821273803711
3,61,True,True,none,139.36519622802734
3,62,True,True,none,152.99320220947266
3,63,True,True,none,137.05110549926758
3,64,True,True,none,140.39087295532227
3,65,True,True,none,138.32521438598633
3,66,True,True,none,141.99399948120117
3,67,True,True,none,175.55904388427734
3,68,True,True,none,172.12295532226562
3,69,True,True,none,144.84190940856934
3,70,True,True,none,145.6148624420166
3,71,True,True,none,143.68486404418945
3,72,True,True,none,132.68613815307617
3,73,True,True,none,144.5760726928711
3,74,True,True,none,133.32772254943848
3,75,True,True,none,130.33580780029297
3,76,True,True,none,133.00395011901855
3,77,True,True,none,132.85088539123535
3,78,True,True,none,131.26492500305176
3,79,True,True,none,132.00092315673828
3,80,True,True,none,129.0271282196045
3,81,True,True,none,126.20806694030762
3,82,True,True,none,127.88081169128418
3,83,True,True,none,132.89594650268555
3,84,True,True,none,131.93702697753906
3,85,True,True,none,128.17692756652832
3,86,True,True,none,131.47616386413574
3,87,True,True,none,129.35781478881836
3,88,True,True,none,128.65209579467773
3,89,True,True,none,129.29296493530273
3,90,True,True,none,129.88710403442383
3,91,True,True,none,134.32812690734863
